id,text
1,i e phue hu e peh peh
2,m na si lan hian tai tai gi lang oh thak lian theh lai kai e pian tsia ma hue hue tsit tsiong iong ji huat siunn kue i uan sit tsai put kho tshuh u
3,hai kuan thong kue liau au tsiah khi hau ki sik sio tan si kan na u khah liong e tang khi seh bian sue ke
4,tsing lang thiann han tsing li an ne kong long kuann kin tann thau khuann suann ting tsit e khuann a tak ke sim lai long am hua tsit siann gua khoo ah suann e tsiah e tshiu ping u iann kiam tsit puann khi ah
5,oo bat sang li ho li beh ai e mih kiann ti tsia
6,iau m koh u lang ui tioh ko jin e li ik tang hong siann a beh lai sio tshinn
7,in na si tong suan ma e pi iau kiu sit hian sing lok tui king tshat kai kik lai kong tse i king si tsit e sing li
8,an ne bin a tsai kam kau khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng
9,tit jit pun sa khu lah khui e hit tang tsun kui phiann a ang ki ki kai sui
10,bi kok kah ma u kiong tong li ik pi lu tsi tshi e bin ping
11,ling gua ting ki ing bun e gi liau khoo tsoh tshut lai e gi su tah phue kai su in tsi si tai bing su kuan su o lo in ui pin lut tsin kuan tsia e gi su e gi su tah phue lo la lo in o ma long pai ti tsiann thau tsing
12,lan tsit tsun khit lok kang ai nng tiam puann tsing
13,tha si te m e kah thau
14,mng kiann kuann ah hoo ho oo
15,siann mih thau loo e pi tsit lo khah ho
16,hit tui ang a boo oh e si tsing phai e pu lu su thiau kah tsiann ho khuann
17,hainn gin a lang u thinn bo tshui m ho oo peh mng
18,na mng kong tsue kin sua loh lai kam koh e u hong thai siong tsioh tsit si goo kang si bo khuann e lah kuan tsiong ping iu ing kai si bian huan lo
19,thing loh lai e si sim lai kam u buan tsiok e kam kak sing khu bu na kiann liau siunn kin
20,kho ling bo huat too tsun si sit le
21,tsit ma si guan tsu bin tsok gi ng bang bi lai kheh ka gi tai gi long u ki hue
22,koh leh khi sing pe uah beh loo si
23,kong ue tioh tsing king m thang hi hi tshio
24,sin niu sin niu sui tang tang khoo te ho ho bo phuah khang sin long pue a phang kuan kuan kiann sun tai tai tiong tsiong guan
25,a me a si beh khi tai pak ah si beh khi tai lang
26,in to si bo ting tsiah e tap pai long e lau kau mih kiann
27,thau tsing kong ui tioh pi sai leh sia he uan na sin nua thau lan to m si to leh koh ah si u iann hiah iau i hiah e tsiong kim
28,in ui bo tshu li ham hoo sing e bun te soo i e ing hiong tioh sit giam kiat ko e phin tsit
29,sua loh lai beh lai siau kai hue ling ki e an tsuan siat ti to sing mng ti hue ling ki e nng ping sang soo am ti thau khak ting kiu sing i ti i a kha
30,tiam tiam tit pinn a tso bo su jin
